Tes Potensi Akademik,,,,,,,
#,Sinonim,,,,,,
#,##,PREMI,asuransi,Uang hadiah,Imbalan,seimbang,C
#,##,GLIKOGENESIS,pembentukan gula,obat penenang,alkohol dihidrik,enzim,A
#,##,BAHTERA,Pernikahan,bahagia,Sejahtera,Perahu,D
#,##,RAMPUS,Meninggal,Mengambil,Basah,tidak sopan,D
#,##,GRASI,Permohonan,Pengajuan,Pengampunan,Penyelesaian,C
#,##,PAKAR,ahli,kompleks,umum,khusus,A
#,##,SUBSTANSI,nyata,fakta,maksud,inti,D
#,##,RESAH,gulana,lekat,gundah,dilema,C
#,##,SUHAD,Mati di medan perang,Insomnia,Syok,Air tawar,B
#,##,HALIA,Jahe,Kumbang,Noda,Bantuan,A
#,ANTONIM,,,,,,
#,##,VERSUS,lawan,mitra,pengaruh,ancam,B
#,##,DEBIL,cerdas,diam,tak bisa diam,demam,A
#,##,BUNGSU,Muda,Panah,Longsor,Sulung,D
#,##,GASAL,Awan,Genap,Wanita,Umum,B
#,##,NIDERA,bermain,tudur,terjaga,palsu,C
#,##,MALA,penghargaan,anugerah,banjir,bencana,B
#,##,STATIS,Matematis,Limitatif,Integratif,Dinamis,D
#,##,ABAI,Gula,Lalai,Acuh,Empati,C
#,##,AMUH,dorong,aman,ricuh,tidak mau,D
#,##,BANCAR,lancar,gencar,mampat,rebut,C
#,ANALOGI,,,,,,
#,##,benang :: kain =,sel :: protozoa,umbi lapis :: bawang merah,bambu :: anyaman,simpati :: apertesis,C
#,##,api :: kemarahan = putih ::,kesucian,kesaktian,kebaikan,kebenaran,A
#,##,HURUF : TULISAN,buku : majalah,titik : lingkaran,listrik : Volt,voucher : pulsa,B
#,##,Rumput : Lapangan = Bintang : ....,Nebula,Angkasa,Bulan,malam,B
#,##,KOMPONIS : SIMPONI,Aktor : Komedi,Sutradara : Film,Penyair : Soneta,Konduktor : Orkestra,B
#,##,Pedati : Kuda = Pesawat : .....,Sayap,Pilot,Baling-baling,pramugari,C
#,##,MENDOBRAK : MASUK,Merampok : uang,Telepon : telegram,Mengaduk : semen,Menyela : bicara,D
#,##,KONSTITUSI : PREAMBUL =,Opera : intermezo,Legislatif : pendahuluan,Drama : epilog,Buku : kata pengantar,D
#,##,BERISIK : GADUH,Jemur : Basah,Hangus : Gosong,Virus : Penyakit,Luka : Obat,C
#,##,ABRASI : HEMPASAN,Serpihan : potongan,Reruntuhan : penghancuran,Rayuan : pujian,Memasak : panas,B
#,##,"Selama tahun 1995 belanja iklan untuk produk makanan kalengan meningkat dengan 20%, sementara konsumsi makanan kalengan meningkat dengan 25%. Berikut ini, jika benar, dapat menjalaskan kenaikan konsumsi makanan, kecuali ...",Harga-harga makanan kalengan menurun dibandingkan dengan produk sejenisnya.,Produk makanan kalengan tersedia di banyak took.,Produksi alat pembuka kaleng meningkat dua kali lipat.,Efektivitas iklan meningkat.,C
#,##,"Segera saya membayangkan situasi itu dalam kasus konkret. Misalkan, momen itu terjadi antara bulan Juli-Oktober 2004.Saat itu dua nama pasangan presiden yang lolos di putaran pertama sudah diumumkan secara resmi. Dua pasangan itu saja yang berhak maju ke babak kedua pemilihan presiden. Presiden Indonesia adalah salah satu dari dua pasangan tersebut.Pertanyaan yang tidak dapat dibuat dari wacana diatas adalah",Kapan dua nama pasangan presiden diumumkan secara resmi?,Apakah Presiden Indonesia 2004 merupakan salah satu dari dua pasangan terpilih?,Apakah momen yang terjadi antara bulan Juli-Oktober 2004?,Bagaimanakah situasi dalam kasus konkret dapat saya bayangkan?,D
#,##,"Runa bangun kesiangan. Karena itu, ia tidak makan pagi. Ia menyadari bahwa ia masuk sekolah, sehingga ia lari sekencang mungkin dan tidak melihat ada lubang di tengah jalan yang ia lewati. Ia terperosok ke dalam kubang dan kakinya patah. Ia dibawa ke rumah sakit. Dan selama dirawat di rumah sakit ia dijenguk temannya yang ingin tahu mengapa Runa bangun sedemikian terlambat. Kesimpulan apa yang dapat diambil dari cerita tersebut?","Karena Runa tidak makan pagi, maka ia mengalami patah kaki.",Temen-teman Runa menjanguk nya di rumah,Runa tidak melihat lubang karena ia bangun kesiangan.,Runa mengalami patah kaki karena ia terlambat tidur pada malam sebelumnya.,D
#,##,"Dua orang penggembala, Habib dan Prima beserta seekor kambing akan menyeberangi sungai dengan perahu seorang nelayan. Si nelayan tidak mengijinkan siapapun untuk mendayung perahunya selain dirinya sendiri. Perahunya hanya dapat mengangkut satu beban setiap kali menyeberang. Kambing tidak dapat ditinggalkan sendiri di tepi sungai karena dapat dimangsa hewan buas. Di antara pernyataan berikut, manakah yang bukan merupakan bagian dari cerita sukses penyeberangan itu?",Habib menyeberang lebih dulu daripada kambing.,Habib menyeberang pada giliran kedua.,Prima menyeberang pada giliran terakhir.,Habib dan Prima tidak menye berang bersama-sama.,A
#,Bacaan untuk 3 nomor selanjutnya,"Tangkasi merupakan satwa primata keturunan satwa purba. Tangkasi yang termasuk spesies tarsius ini disebut juga binatang hantu yang lucu. Bentuk dan anatomi binatang ini mirip monyet. Mukanya lucu karena sepasang matanya yang besar mencolok dan dua kupingnya tegakyang tak proposional dengan mukanya yang kecil. Tubuhnya yang berbulu halus abu-abu kekuningan dan berkilat hanya setinggi 9,5-14 sentimeter dengan jumbaian bulu di ujungnya yang mirip kuas. Tangkasi ini termasuk kelas mamalia atau binatang menyusui. Dilihat dari jenis makanannya, binatang ini termasuk insektivora dan juga karnivora. Oleh sebab itu, selain mengudap serangga seperti semut, kecoa, dan kalajengking, primata kecil ini juga gemar menyantap cecak, tikus kecil, bahkan burungburung kecil. Tangkasi adalah binatang malam. Jika hari mulai gelap, mereka bergentayangan dan meloncatloncat mencari makanan. Menjelang munculnya surya pagi, mereka cepat-cepat masuk sarang lagi. Tangkasi ini merupakan salah satu satwa endemik khas Sulawesi. Sebetulnya tangkasi yang termasuk spesies tarsius ini juga tersebar di Sumatra, Kalimantan, dan di Kepulauan Maluku. Karena spesies ini termasuk satwa purba dan khas Indonesia, khusus Sulawesi, wajarlah satwa liar ini menjadi sasaran kaum peneliti internasional.",,,,,
#,##,Tema wacana di atas adalah ....,Tangkasi merupakan sejenis binatang yang menjadi sasaran kaum peneliti internasional.,Deskripsi mengenai berbagai jenis primata turunan satwa purba yang terdapat di Indonesia.,Deskripsi mengenai berbagai jenis binatang purba yang terdapat di Indonesia.,"Tangkasi merupakan sejenis primata turunan satwa purba spesies tarsius yang terdapat di Indonesia, khususnya di Sulawesi.",D
#,##,Tangkasi adalah ....,sejenis,binatang peliharaan yang lucu.,spesies tarsius turunan satwa purba.,binatang malam pemakan tumbuh - tumbuhan.,C
#,##,Ciri-ciri binatang malam di antaranya ialah ....,berbulu halus dan bagus seperti bulu tangkasi.,aktivitas hidupnya dilakukan pada malam hari.,termasuk insektivora dan karnivora dan suka tidur malam.,binatang ini bersarang di rongga - rongga pohon.,B
#,Bacaan untuk 3 nomor selanjutnya,"Saya mempunyai seorang pemimpin yang baik sekali. Dia memberi penghargaan kepada kecakapan saya yang sebenarnya, sehingga saya bekerja menjadi lebih keras lagi. Jika ia menyerahkan suatu tugas kepada saya dan telah memberi keterangan yang cukup tentang tugas itu, dia tidak selalu memeriksa pekerjaan saya, melainkan member kesempatan kepada saya untuk menyelesaikan bagian bagian kecil dari tugas itu. Dia adalah pemimpin yang berpengetahuan luas sekali tentang pekerjaan pekerjaan dalam bidang dinas yang dipimpinnya dan selalu bersedia memberikan perhatian pada soal- soal yang kurang saya mengerti. Dia selalu tersenyum, sabar, ramah, dan selalu memperlihatkan kegembiraannya bilamana pekerjaan-pekerjaan diselesaikan dengan lancer dan sebaik-baiknya.",,,,,
#,##,Pilihlah pernyataan-pernyataan di bawah ini yang paling cocok dengan isi cerita di atas...,Tiap pemimpin mempunyai watak yang berbeda-beda,Pujian dapat menimbulkan semangat dalam bekerja,Senyuman yang gembira dapat mencegah kekacauan,Seorang pemarah tidak akan banyak temannya,B
#,##,Penulis cerita di atas kira-kira menyukai pemimpin yang...,memberi keterangan-keterangan yang lengkap kepada pegawainya,"selalu tersenyum, sabar, dan ramah",menanamkan rasa percaya pada dirisendiri,tidak memberikan pekerjaan yang terlalu berat kepada bawahannya,C
#,##,Pilihlah salah satu dari pernyataan - pernyataan di bawah ini yang terkandung dalam cerita di atas!,Penulis cerita itu seorang pemimpin yang ramah,Tugas seorang pemimpin tidaklah ringan,"Pada pemimpin yang baik, watak lebih penting daripada otak",Sikap seorang pemimpin dapat mempengaruhi pekerjaan anak buahnya.,D
#,KEMAMPUAN KUANTITATIF,,,,,,
#,##,"Jika sebuah pajak untuk sebuah radio seharga Rp 125.000 adalah Rp 20.000, maka pada tingkat yang sama pajak sebuah radio seharga Rp 175.000 adalah ?",Rp 16.000,Rp 24.000,Rp 28.000,Rp 32.000,C
#,##,"Pak Ali melakukan perjalanan dengan mobil sejauh 540 km. Penggunaan bahan bakar berkisar antara 15 - 18 km/liter. Jika harga bahan bakar berkisar antara Rp 1.320 dan Rp 1.400 per liter, maka selisih pengeluaran tertinggi dan terendah yang mungkin dikeluarkan untuk pemakaian bahan bakar adalah :",Rp 12.000,Rp 12.400,Rp 13.600,Rp 10.800,D
#,##,"Seorang karyawan bekerja 8 jam sehari, dan dalam satu minggu 5 hari kerja. Karyawan tersebut menerima upah Rp 2.400 per jam kerja dan menerima upah lembur Rp 3.200 per jam. Dalam 4 minggu ia bekerja menerima upah sebesar Rp 435.200, berarti ia lembur selama .........",14 jam,16 jam,18 jam,20 jam,B
#,##,"Sebuah buku disewakan dengan harga Rp 1000 untuk 3 hari pertama dan untuk hari selanjutnya Rp 600 per harinya. Jika penyewa buku tersebut membayar Rp 11.800 untuk sebuah buku, berapa harikah buku tersebut disewanya ?",24,21,20,18,B
#,##,Diketahui panjang sisi-sisi sebuah segitiga sama sisi adalah 3cm dan didalamnya dibuat segitiga sama sisi yang panjang sisinya adalah 1cm. Berapakah jumlah maksimum segitiga kecil yang terbentuk ?,3,6,9,12,C
#,##,Panjang lantai sebuah kamar mandi adalah 7 2/3 kaki dan lebarnya 6 kaki. Lantai tersebut dipasang ubin yang berbentuk bujur sangkar yang panjang sisinya 4 inci (1kaki = 12 inci). Berapakah banyaknya ubin yang dibutuhkan untuk menutupi seluruh lantai ?,45,75,207,414,D
#,##,"Sebuah lonceng berbunyi setiap 35 menit sekali dan bunyi pertama pada tengah malam. Pada malam yang sama, berapa menit lagikah lonceng tersebut akan berbunyi setelah pukul 4.12 pagi ?",28,19,14,9,A
#,##,Sebuah roda berputar 30 inci berputar sebanyak 120 kali untuk menempuh jarak tertentu. Berapa kalikah roda yang berdiameter 15 inci berputar untuk menempuh jarak yang sama ?,80,100,160,240,D
#,##,"Jika sepotong pipa panjangnya 8m dan beratnya 44kg, berapa kg kah berat pipa tersebut yang bertipe sama dengan panjang 10m ?",48,51,55,58,C
#,##,Sebuah mobil mengalami penurunan harga secara berturut-turut 40% dan 20%. Berapakah penurunan total harga tersebut ?,86.00%,64.00%,52.00%,30.00%,C
#,##,"Jika 20% dari x adalah 2a dan 45% dari x adalah ﾽ b, maka berapa persen a+b dari x ?",80,100,65,50,B
#,##,Satu kaleng cat dapat digunakan untuk mengecat ke 6 bidang dari sebuah kubus. Berapa kaleng cat yang dibutuhkan untuk mengecat ke 6 bidang kubus yang lain yang panjang sisinya dua kali panjang sisi kubus semula ?,1,2,2 1/3,3,B
#,##,Sebuah benda jatuh dengan kecepatan 3km per jam. Berapa km benda tersebut jatuh dalam waktu x menit ?,1/20 x,20/x,x/20,40/x,C
#,##,"Jika p - 3 = q + 3, maka q - p = ?",6,1,0,-6,D
#,##,Berapa biaya pengiriman lewat telegram dari 32 kata jika per 15 kata pertama biayanya x rupiah dan tiap tambahan kata biayanya y rupiah ?,x + 17y,y + 17x,15x + 15y,15x + 17y,A
#,##,"Setiap 18 mil dicapai oleh sebuah motor boat, maka dia menghabiskan 1 galon minyak. Berapa gallon minyak kira-kira yang dihabiskan oleh motor boat tersebut bila telah mencapai 2.170 mil ?","120,5",125,121,"119,5",A
#,##,"Rata-rata aritmatika dari 5 angka adalah 36,04 Jika satu angka dibuang, rata-rata dari angka tersisa adalah 37,675. Berapakah angka yang dibuang tersebut?",31,"29,5",41,"35,5",B
#,##,"Jika sisi bujur sangkar ditambah dengan 15 %, maka luas bujur sangkar tersebut meningkat dengan ...",40.00%,"32,25%",69.00%,25.00%,B
#,##,Satu gallon bensin dituangkan ke dalam sebuah tangki berbentuk seperti kubus yang panjang seluruh sisinya adalah 7 inci. Berapakah tinggi permuakaan bensin di dalam tangki tersebut? (1 galon = 231 inci kubik),"3,8 inci","4,2 inci","4,7 inci","5,2 inci",C
#,##,"Sebuah bola karet dilepas pada ketinggian 1 m. Setelah menyentuh tanah bola memantul kembali setinggi 5/7 dari tinggi semula. Jika pantulan selanjutnya juga memenuhi 5/7 dari tinggi pantulan sebelumnya, maka tinggi pantulan bola setelah pantulan ke-6 adalah...","13,2 cm","18,7 cm","21,4 cm","25,3 cm",A
#,##,(5 x 4) - (5 + 4) = (6 x 6) - (5 + p). Berapakah nilai p + 2?,22,-18,20,-20,A
#,##,"Sebuah perusahaan mengurangi jam kerja pegawainya dari 36 jam menjadi 30 jam per minggu tanpa mengurangi gaji. Jika seorang pagawai tadinya dibayar Rp100.000 per jam, berapa gajinya per jam sekarang?",Rp90.000,Rp115.000,Rp110.000,Rp120.000,D
#,##,"Jika tinggi tiang 100 meter menghasilkan bayangan setinggi 60 meter, maka berapa tinggi tiang jika menghasilkan bayangan 35 meter?","70,33","60,33","65,33","58,33",D
#,##,"Seorang ibu akan membeli 48 kg buah apel dan jeruk, dimana perbandingan apel dan jeruk 1 : 3, berapa kilogram kah jumlah jeruk yang dibeli?",36,12,30,20,A
#,##,perbandingan mahasiswa dengan mahasiswi tingkat I perguruan tinggi adalah 4 : 5. Apabila jumlah mahasiswa adalah 120 orang maka jumlah seluruh mahasiswa tingkat 1 adalah...,120,150,210,270,D
#,##,"Nilai rata-rata matematika kelas IPA 2 yang jumlah siswanya 40 adalah 6,20. jika nilai kelas IPA 1 yang jumlah siswanya 35 digabung dengan nilai kelas IPA 2, nilai rata-rata menjadi 6,34. Maka berapa nilai rata-rata untuk kelas IPA 1 ?","6,3","6,4","6,5","6,6",C
#,##,Nilai rata-rata anak kelas 5 dan kelas 6 masing-masing adalah 70 dan 90. sedangkan nilai rata-rata seluruh kelas 5 dan kelas 6 adalah 75. Maka perbandingan jumlah siswa kelas 5 dan kelas 6 adalah,1 : 2,3 : 1,2 : 3,3 : 2,B
#,##,"Jika a + 2b = 5 dan c = 3, berapakah hasil a + 2(b+c) ?",9,11,13,15,B
#,##,"Untuk membeli 3 baju dan 2 celana, seseorang harus membayar Rp210.000,-, sedangkan untuk 1 baju dan 3 celana dia harus membayar Rp140.000,-. Jika Mirza ingin membeli 2 baju dan 2 celana, berapakah uang yang harus Mirza bayar?","Rp140.000,-","Rp150.000,-","Rp160.000,-","Rp170.000,-",C
#,##,"Jika dua bilangan x dan y dijumlahkan hasilnya 60, hasil kali maksimum kedua bilangan tersebut adalah",800,900,1100,850,B
#,##,"Usia seorang ayah sekarang 3 kali lipat usia anaknya, jika 15 tahun kemudian usia anak tersebut setengah kali usia ayahnya. Berapakah usia anak itu sekarang?",10,12,15,17,C
#,##,Penghasilan Panse setelah dipotong pajak penghasilan (5%) dan iuran pensiun sebesar Rp. 75.000 adalah Rp. 9.425.000. Penghasilan Panse sebenarnya adalah ...,Rp 9.900.000,Rp 9.850.000,Rp 10.000.000,Rp 9.800.000,C
#,##,"Jika (x-y)2 = 12 dan xy = 1, maka x2 + y2=...",12,13,14,11,C
#,##,"Jika (x-1)/(x+1)=4/5, maka x=",4,9,12,3,B
#,##,"Ukuran sebuah kota pada suatu peta adalah panjang 12 cm dan lebar 9 cm.Apabila peta tersebut mempunyai skala 1 : 211, luas sebenarnya dari kota tersebut adalah ...",108,216,420,432,D
#,##,Besar sudut yang dibentuk antara jarum jam dan jarum menit pada pukul 06.30 adalah...,0 derajat,10 derajat,15 derajat,20 derajat,C
#,##,"Suatu hari Pak Heri memanen singkong. Jumlah singkong yang digoreng sebesar 550 kg, tape yang dihasilkan dari fermentasi singkong sebesar 1620 kg, dan karena proses fermentasi tersebut bobot singkong","2,15 ton","2,5 ton","2,05 ton",2 ton,A
#,##,"Sebuah truk yang bermuatan 1 ﾼ ton pasir yang masih mampu dimuati 600 pon. Bila satu ton berisi 2000 pon, berapa ton kah daya muat truk tersebut?","1,45","1,65","1,55","1,75",C
#,##,2 hari + 21 jam + 60 menit + 51 detik = ... detik,252.051,242.051,232.051,222.051,A
#,##,"Jika , berapakah nilai dari x2 - 3x + 4?",-4,0,1,2,B
#,KEMAMPUAN PENALARAN,,,,,,
#,##,Semua jenis ikan bernafas dengan insang. Ikan paus bernafas dengan paru-paru. Berarti...,Sebagian jenis ikan bernafas dengan paru-paru,Sebagian ikan paus bernafas dengan insang,Semua ikan paus termasuk ikan,Semua ikan paus bukan termasuk ikan,A
#,##,Pengendara sepeda motor yang lewat jalan raya harus mengenakan helm. Sebagian siswa SMA yang bersepeda motor tidak mempunyai helm. Kesimpulannya...,Sebagian siswa SMA bersepeda motor boleh lewat jalan raya,Semua siswa SMA bersepeda motor harus mengenakan helm,Semua siswa SMA bersepeda motor tidak boleh lewat jalan raya,Semua siswa SMA tidak boleh melewati jalan raya,B
#,##,Bowo menyukai program komputer Delphi. Ageng menyukai program komputer Visual Basic,"Karena gengsi, Bowo tidak memilih program Visual Basic karena Ageng sudah memilihnya",Ageng ingin berbeda dari Bowo dalam hal penguasaan program komputer,Ageng dan Bowo saling bersaing menjadi programmer komputer yang paling handal di kotanya,Tidak dapat diambil kesimpulan,D
#,##,Semua ikan dapat berenang Beberapa ikan dapat hidup di daratan Anjing hidup di daratan dan bisa berenang,Anjing adalah ikan,Anjing adalah ikan yang hidup di daratan,Anjing bukan ikan,Tidak terdapat hubungan,D
#,##,Dheni adalah penjual kaos Kaos yang dijual Dheni harganya murah-murah Kaos yang dijual di Tanah Abang juga murah-murah,Dheni adalah penjual kaos di Tanah Abang,Dheni mungkin penjual kaos di Tanah Abang,Dheni bukan penjual kaos di Tanah Abang,Dheni menjual kaos Tanah Abang,B
#,##,Mukzizah memiliki seorang adik laki-laki yang sangat nakal. Biasanya anak nakal selalu dijewer jika melakukan kenakalan. Mukzizah tidak tega jika harus menjewer adiknya. Pernah suatu hari karena sedang kesal Mukzizah menjewer adiknya. Kesimpulannya adalah :,"Jika Mukzizah kesal, ia menjewer adiknya.",Mukzizah khilaf menjewer adiknya.,Mukzizah tidak,Mukzizah mengkhianati janjinya.,C
